平台,点赞数,评论数,博主名字,视频封面,视频链接,发布时间,视频标题/说明,播放量,分享数,时长秒,采集说明,来源URL
TikTok,3787835,6551,Mary,https://p16-common-sign.tiktokcdn-eu.com/tos-no1a-p-0037-no/ogExnXREQFAfHQBtUpvgCi5mkBFxVfNDvD7Myg~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=9ba2cb8b&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=raqFm4FNk2sBI4ruCdi5zYgu7sE%3D,https://www.tiktok.com/@mary.g0.round/video/7581524587050044694,2025-12-09,SOMEONE FIND HER TIKTOK 😭😭🙏‼️ #kpop #kpoprandomdancechallenge #kpoprandomplaydance #yeonjun #katseyedaniela,27344119,45717,29,TikTok search: kpop dance challenge; one-year window,https://www.tikwm.com/api/feed/search?keywords=kpop+dance+challenge&count=30
TikTok,1004206,6283,Kari Snap,https://p16-common-sign.tiktokcdn-eu.com/tos-alisg-p-0037/oosBZRDpFb46ljr8SReEABcEN4TQQUIfgpcvtE~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=d4cead4f&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=iMC7%2FOleuEIGeUaFRyTlhsxpiA4%3D,https://www.tiktok.com/@kari_snap/video/7608205421320408341,2026-02-18,Result 💕#trendingdance #dancetrend2026 #dancechallenge2026 #newtrend #dancetrend,48952781,24102,15,TikTok search: tiktok dance 2026; one-year window,https://www.tikwm.com/api/feed/search?keywords=tiktok+dance+2026&count=30
TikTok,995370,5540,JALAPEÑOS,https://p16-common-sign.tiktokcdn-eu.com/tos-no1a-p-0037-no/os6IFEFThIDkffEAKTbAfcEGSmIUjDHLI3aBCD~tplv-tiktokx-dmt-logom:tos-no1a-i-0068-no/oAmJDffgEEhkIaChhApgFCdmE1RgAAgoAFAAv6.image?biz_tag=musically_video.video_cover&dr=9230&idc=no1a&ps=933b5bde&refresh_token=626bd391&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=M65VimBprcmpkzm7g8y3JDgAKDw%3D,https://www.tiktok.com/@team.jalapenos/video/7576753995365027094,2025-11-26,why choosing between girl or boy group when you can make both 👀🌶️🔥 @KATSEYE Katseye - Touch Dance Cover #katseye #eyekons #dancecover #touch,7282451,86249,29,TikTok search: katseye touch dance challenge; one-year window,https://www.tikwm.com/api/feed/search?keywords=katseye+touch+dance+challenge&count=30
TikTok,969295,2664,hailey harrison,https://p16-common-sign.tiktokcdn-eu.com/tos-useast8-p-0068-tx2/ooTmiIyEi9ROIQQQVBFqAvJDAUVxsEfrf1MEOz~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=19a73615&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=HU7hPIVV6UvwbTK82h6et69%2Be5M%3D,https://www.tiktok.com/@haiharrison/video/7652564935762922782,2026-06-18,whatchu know about macarena 🕺🏻 #legburner #cjump #bestieboo #macbreak #dance @caymdog,5579518,166980,12,TikTok search: tiktok dance; one-year window,https://www.tikwm.com/api/feed/search?keywords=tiktok+dance&count=30
TikTok,773250,2114,offmaskcrew,https://p16-common-sign.tiktokcdn-eu.com/tos-no1a-p-0037-no/oouBMXPftegoFFA8QKrmR4dDgENEkqFX39vCQy~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=949ee20a&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=x18246LcsAdyshTWeoBO4J74SxM%3D,https://www.tiktok.com/@offmaskcrew/video/7547719281291693334,2025-09-08,🤠🤠| dancers: @aliya @melanie.br @weni | dc: ? #dance #dancechallenge #dancetrend #dancetrend2025 #eutofazendo,22483597,47043,14,TikTok search: viral dance 2025; one-year window,https://www.tikwm.com/api/feed/search?keywords=viral+dance+2025&count=30
TikTok,619985,5263,Kari Snap,https://p16-common-sign.tiktokcdn-eu.com/tos-maliva-p-0068/oU8EpGFzbIDR18AA7QAQfLEmocQWRcVBJAvnfC~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=ef4b3190&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=p%2F9%2FaQL9pv1QHVWUVaytG75%2FZjA%3D,https://www.tiktok.com/@kari_snap/video/7552113188813229323,2025-09-20,New trend? #newtrend #dancechallenge2025 #dancetrend #trendingdance #dancetrend2025,24054361,12878,15,TikTok search: dance challenge 2025; one-year window,https://www.tikwm.com/api/feed/search?keywords=dance+challenge+2025&count=30
TikTok,643616,1402,Dance Fusion,https://p16-common-sign.tiktokcdn-eu.com/tos-no1a-p-0037-no/oceGLKReMRHAzAwcIAAhIeKfQZOvkQAAnWFGAP~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=8a5e30cf&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=eG6NH%2Brzr%2B3WDLY5a8vlJ7qF4nc%3D,https://www.tiktok.com/@kpop.dancefusion/video/7570044517135420674,2025-11-08,🎶 Katseye - Touch RPD fancam from @MegaCon Live Farnborough. Featuring: @SleepiLizz #kpop #megaconfarnborough #fyp #katseye #touch,19714520,28337,33,TikTok search: katseye touch dance challenge; one-year window,https://www.tikwm.com/api/feed/search?keywords=katseye+touch+dance+challenge&count=30
TikTok,517965,5103,Dance Fitness with An Lê,https://p16-common-sign.tiktokcdn-eu.com/tos-alisg-p-0037/ocLcDPEsBAd0itVCe6iMRaIYvAuIUrKwyKIRiA~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=9fd1d9e5&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=NuqAOk134vYqTRrnrkMIQmBkM1s%3D,https://www.tiktok.com/@dancefitnesswithanle/video/7600441719162768660,2026-01-30,Easy Move Tutorial Dance Viral #dancefitnesswithanle #dancetutorial #bestshuffle #shuffledance,17127844,120311,24,TikTok search: shuffle dance challenge; one-year window,https://www.tikwm.com/api/feed/search?keywords=shuffle+dance+challenge&count=30
TikTok,484884,855,sexiestmfuser,https://p16-common-sign.tiktokcdn-eu.com/tos-useast8-p-0068-tx2/o8nC9oiBMIBWUyDAUDuAfOiU1MIuIO1iqJujaA~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=5ded9c72&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=QuzMASA7w2ErpSw2nEAzeJVzZlU%3D,https://www.tiktok.com/@sexiestmfuser/video/7641600031694392606,2026-05-19,Deep sea diverrrr #fyp #dance #3persondance #viraldance #deepseadivers @Its_khya @ksecretlife5,5425669,27690,22,TikTok search: viral dance; one-year window,https://www.tikwm.com/api/feed/search?keywords=viral+dance&count=30
TikTok,430158,1015,kelly<3,https://p16-common-sign.tiktokcdn-eu.com/tos-no1a-p-0037-no/oAyB5ogbi8mBIUiw0myATxmf9K0IAUCkkICAnR~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=cd950071&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=Bblii0bt%2BiTlRL071%2FKzaPIuM1E%3D,https://www.tiktok.com/@kellyisdancing/video/7576397356959108374,2025-11-25,finally did this with @miirelaisdancing dc:@Jaya Cody #fyp #duodance #dancetrend2025 #bodygo #trendingdance,5399108,24751,15,TikTok search: dance trend 2025; one-year window,https://www.tikwm.com/api/feed/search?keywords=dance+trend+2025&count=30
TikTok,419979,1456,nouvaee,https://p16-common-sign.tiktokcdn-eu.com/tos-useast2a-p-0037-euttp/oUxCIGALfQqO5jIgqqIWIJQJf0kjGepDMuNSiY~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&item=7578512925854321953&ps=933b5bde&refresh_token=df120bca&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=QXCDgqPtUy7ivtLfBulbdeQfzN0%3D,https://www.tiktok.com/@nouvaee/video/7578512925854321953,2025-11-30,nj never d1e. #newjeansdance #dancechallenge #trend2025 #danceduo #kpop,4071215,7522,15,TikTok search: kpop dance challenge 2025; one-year window,https://www.tikwm.com/api/feed/search?keywords=kpop+dance+challenge+2025&count=30
TikTok,361162,933,Lauren Kim,https://p16-common-sign.tiktokcdn-eu.com/tos-useast8-p-0068-tx2/oQxEjIgEG7qACYONfoEDBFBERE1DNAdVJIf038~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=e038e4bc&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=uRk7ZKu6nOUCPbP7jzAje6fKtrY%3D,https://www.tiktok.com/@laurenkkim0/video/7639854586278333726,2026-05-15,watching the movie today so had to hit this🕺 #dancetrend #dance #michaeljackson #dancing #duo,12936251,27367,20,TikTok search: trending dance; one-year window,https://www.tikwm.com/api/feed/search?keywords=trending+dance&count=30
TikTok,347952,1402,l u a❣️,https://p16-common-sign.tiktokcdn-eu.com/tos-no1a-p-0037-no/oUA1t0ufI0iRASC1B5BbVaiZAW8jwAzEdmLAIC~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=153799f8&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=2t%2BYt68kIFwJZDxFkTx0864cAbI%3D,https://www.tiktok.com/@lua_elisabeth3/video/7573697108402801942,2025-11-17,Miv🤞 @Philippa B.W♥️ #dance #dancetrend2025 #pokerface #lua #tiktokdance,14323362,20698,11,TikTok search: dance trend 2025; one-year window,https://www.tikwm.com/api/feed/search?keywords=dance+trend+2025&count=30
TikTok,336213,2176,𝔾𝕒𝕓𝕣𝕚𝕖𝕝𝕒,https://p16-common-sign.tiktokcdn-eu.com/tos-alisg-p-0037/oIAfexEejSIVAoDbE4GcFsLSAZDOAAnE3glAII~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=ed6060d7&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=ksFCyaofwbpqoXyN8BEduE8kyZs%3D,https://www.tiktok.com/@an_gh0sth3r/video/7574093141142277394,2025-11-18,#trend #nwj #phonk #drip #dance // newjeans trend 2025 /@Flxrencia💤 @𝔾𝕒𝕓𝕣𝕚𝕖𝕝𝕒 ✰,8561714,16265,12,TikTok search: dance trend 2025; one-year window,https://www.tikwm.com/api/feed/search?keywords=dance+trend+2025&count=30
TikTok,303096,1118,karina,https://p16-common-sign.tiktokcdn-eu.com/tos-useast5-p-0068-tx/oIHZkAwRVqDPnEISISFfICAPRsJwfeIGjZDkIH~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=a1b37389&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=743pmIwtVkonT2w0rgnXwbUWsHs%3D,https://www.tiktok.com/@kk.arina__/video/7576375509022559501,2025-11-25,@luv_444.kenn #2025tiktokdances #goviral #trending #fyp #dancetrends,10766167,18221,10,TikTok search: viral dance 2025; one-year window,https://www.tikwm.com/api/feed/search?keywords=viral+dance+2025&count=30
TikTok,296848,1067,drea,https://p16-common-sign.tiktokcdn-eu.com/tos-useast8-p-0068-tx2/oUIUGvDE4YFIYwX8UgnibiKFojBalgAIBRqZL~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=3fe254f4&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=ouhAhHY59H3%2BKwJmJ7qdPelW8qo%3D,https://www.tiktok.com/@yelloutdrea/video/7639841764534275358,2026-05-15,"we’re backkkj @Urlocalweirdo #dancechallenge, #2025dances, #dancetutorial, #tiktokdance, #fyp tiktok dances 2025 to learn",2696788,14776,22,TikTok search: tiktok dance 2025; one-year window,https://www.tikwm.com/api/feed/search?keywords=tiktok+dance+2025&count=30
TikTok,292818,913,golins.2430,https://p16-common-sign.tiktokcdn-eu.com/tos-useast2a-p-0037-euttp/68008de50add4a1fa7702736489a2c66~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=10402&idc=no1a&ps=13740610&refresh_token=99f73f1e&shcp=9b759fb9&shp=c1333099&t=4d5b0474&x-expires=1782662400&x-signature=dSfgPCVgHoTDthj%2FJk4HF2yDC9s%3D,https://www.tiktok.com/@golins.2430/video/7636458348224859424,2026-05-06,#passinhodojamal🇧🇷 #fyp #dancinha #boom #viral,5681541,21877,11,TikTok search: passinho do jamal dance; one-year window,https://www.tikwm.com/api/feed/search?keywords=passinho+do+jamal+dance&count=30
TikTok,289505,433,ap💫,https://p16-common-sign.tiktokcdn-eu.com/tos-no1a-p-0037-no/o80KIldCABiEuwRJX3YAfiEx4CyLaIkmIu0zCD~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=357714c9&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=aNw4BXvDVEuSUl1RJCWCpL58FvA%3D,https://www.tiktok.com/@gvbriel.ap/video/7612732886029995286,2026-03-03,dc:@SJ Addison #ap💫 #dance #afro,3624743,15336,16,TikTok search: afrodance challenge; one-year window,https://www.tikwm.com/api/feed/search?keywords=afrodance+challenge&count=30
TikTok,255538,4380,Angelo,https://p16-common-sign.tiktokcdn-eu.com/tos-useast5-p-0068-tx/oQVBmLxtrUPEkIliEnObU14LBBIagipsJB7AE~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=11dfc190&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=gKMqRHGMweT%2FmpsQx3%2FinefBYv4%3D,https://www.tiktok.com/@_angelomarasigan/video/7530349295527071031,2025-07-24,who remembers this katseye era? 😩 #katseyetouch #touchkatseye #touchdance #katseyedance #katseyetouchdance @KATSEYE,3625411,11051,26,TikTok search: katseye touch dance challenge; one-year window,https://www.tikwm.com/api/feed/search?keywords=katseye+touch+dance+challenge&count=30
TikTok,247106,5191,Natalia Amaya,https://p16-common-sign.tiktokcdn-eu.com/tos-useast5-p-0068-tx/oMiIBnIp3gkqAtBmAwPQi3ApDWIzNsueBOF1zC~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=a6ef10dd&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=fqqsxzX1zLRFR9%2FRIQsXnZJlUqM%3D,https://www.tiktok.com/@natalia.amayaa/video/7649870528026660110,2026-06-11,Was I expecting to freestyle today? No. Am I always ready? Absolutely💃 #shuffledance,4953415,6818,25,TikTok search: shuffle dance challenge; one-year window,https://www.tikwm.com/api/feed/search?keywords=shuffle+dance+challenge&count=30
TikTok,257940,1760,Kattx6,https://p16-common-sign.tiktokcdn-eu.com/tos-alisg-p-0037/o8blqt3kNANqFGugAgL8vewGZeKVEUeIGRFmfg~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=f0237b3b&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=tU%2FXU4wYAlmkn46J%2F8pC5F1%2BN8A%3D,https://www.tiktok.com/@kattot6/video/7597565109145292040,2026-01-21,Saw this trend and had to try it.. Trend creator @katseyevision #katseye #katseyedancetrend #trend #CardiB #touchdance,2803608,7836,14,TikTok search: katseye touch dance challenge; one-year window,https://www.tikwm.com/api/feed/search?keywords=katseye+touch+dance+challenge&count=30
TikTok,249468,587,HAGIREN,https://p16-common-sign.tiktokcdn-eu.com/tos-alisg-p-0037/o4LgAAQmfAWQGqBAIp7ZFGzJwAeeQmSARXeAIG~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=42dd0431&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=hVlkd1%2FKIAyJ14TRLyMh19GIWlY%3D,https://www.tiktok.com/@hagiren_hiphop/video/7619751888925379861,2026-03-22,#dancechallenge2026 #japandance #trenddancetiktok #hiphopdancer,7261682,12834,15,TikTok search: tiktok dance 2026; one-year window,https://www.tikwm.com/api/feed/search?keywords=tiktok+dance+2026&count=30
TikTok,227755,1633,🦿,https://p16-common-sign.tiktokcdn-eu.com/tos-useast5-p-0068-tx/o8dvuCSDpBDetmZFEPBQ8AIaEDMhfYIgXRIORS~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=c89a55d1&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=e9Cc%2FMOqNZlabWkXqx4Q5hySi0g%3D,https://www.tiktok.com/@rrodwavegf/video/7593364270780402958,2026-01-09,if uu wnna see some real ahh bby its ur chance 🙂‍↔️ | | @Kenzieꨄ @️ | | #fyp #viral #trendingdance #foryoupage #xyzbca | | Tiktok dances 2025 | | Tiktok dances to learn 2025 | | Dances to learn | | New dances | | Trending | | Duo dances | | Viral dances | | Popular dances |,12722401,24654,20,TikTok search: viral dance 2025; one-year window,https://www.tikwm.com/api/feed/search?keywords=viral+dance+2025&count=30
