平台,点赞数,评论数,博主名字,视频封面,视频链接,发布时间,视频标题/说明,播放量,分享数,时长秒,采集说明,来源URL
TikTok,827547,1966,ignite⭐️,https://p16-common-sign.tiktokcdn-eu.com/tos-useast2a-p-0037-euttp/oIeYCGeITtGJfVLrDNXQg0MRIaAjGGngQJ8zM1~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&item=7617187902694509857&ps=933b5bde&refresh_token=467a8a8b&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782723600&x-signature=LVk5TId917mdwZdeKW0DwZoNHJY%3D,https://www.tiktok.com/@ignite.dancegroup/video/7617187902694509857,2026-03-15,@sophia🪽 @L.J🧚‍♀️🧞‍♀️ @melania dc:@Hanna🪽 #fypp#goviral#hiphop#dance#dancechallenge,5891103,25815,12,TikTok search: hip hop dance challenge,https://www.tikwm.com/api/feed/search?keywords=hip+hop+dance+challenge&count=30
TikTok,632775,4333,SingSing,https://p16-common-sign.tiktokcdn-eu.com/tos-alisg-p-0037/ogGIDMjoeQAKzuILeSs6weCluAI8vCGUTQojtL~tplv-tiktokx-dmt-logom:tos-alisg-i-0068/o4EAYpoE4CFAjgRusuIACFEBgWDg1mA6QfeuCU.image?biz_tag=musically_video.video_cover&dr=9230&idc=no1a&ps=933b5bde&refresh_token=8ce12009&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782723600&x-signature=JDuZcvKdg7CLw7Lp7WJ4h1a2A4c%3D,https://www.tiktok.com/@singsingaduck/video/7608928503005777173,2026-02-20,"NO HANDS dc: @rivernovin dance tutorial, slowed, mirrored, with Singsinging #nohands #nohandschallenge",9254091,41956,23,TikTok search: no hands dance,https://www.tikwm.com/api/feed/search?keywords=no+hands+dance&count=30
TikTok,536575,264,⠀ ⠀ ⠀ ⠀ ⠀ ⠀,https://p16-common-sign.tiktokcdn-eu.com/tos-alisg-p-0037/a114abe899ba4fa385660354e3b2e46c~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=10402&idc=no1a&ps=13740610&refresh_token=9a20aa13&shcp=9b759fb9&shp=c1333099&t=4d5b0474&x-expires=1782658800&x-signature=FnNSn41r4MhuQ4dcoSspCNIaGI4%3D,https://www.tiktok.com/@guisox/video/7627666533770120466,2026-04-12,#passinhodojamal #fyp @Levy,4074152,28378,20,TikTok search: passinho do jamal dance,https://www.tikwm.com/api/feed/search?keywords=passinho+do+jamal+dance&count=30
TikTok,495755,802,Sorana,https://p16-common-sign.tiktokcdn-eu.com/tos-useast2a-p-0037-euttp/ooPOEIBcwxDwUAcBg0gIJiZ9Stn9za5EKkiAi~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&item=7649123054508870944&ps=933b5bde&refresh_token=8c94e357&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782723600&x-signature=ynuNE%2Bnb00hKOLkR85DB4aqvb9k%3D,https://www.tiktok.com/@sorana.mra/video/7649123054508870944,2026-06-09,to the left to the right🤪 @Paula @mia #dancer #dance #dancechallenge #trio #phonk,3568366,17732,7,TikTok search: dance challenge,https://www.tikwm.com/api/feed/search?keywords=dance+challenge&count=30
TikTok,383363,2752,Cadel,https://p16-common-sign.tiktokcdn-eu.com/tos-alisg-p-0037/ogPBOMp8CYVeEVpCFGAmCIIDUgHQlDaB2pfbx4~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=b0fd5d6a&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782723600&x-signature=H%2BYmLue1NeVMNVw8LitaHdzGmD8%3D,https://www.tiktok.com/@cadel_06/video/7607814547319131400,2026-02-17,NO HANDS DANCE 🤷‍♂️ dc: @rivernovin,6072636,11305,15,TikTok search: no hands dance,https://www.tikwm.com/api/feed/search?keywords=no+hands+dance&count=30
Instagram Reels,371404,301,ranzkyle,https:\/\/scontent-lax3-2.cdninstagram.com\/v\/t51.71878-15\/608507104_2617747908591836_8252472533046706329_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=111&ig_cache_key=Mzc5OTg3NjYxMTM1NDA4MzQ5OA\\u00253D\\u00253D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fbmZyYW1lX2NvdmVyX2ZyYW1lLkMzIn0\\u00253D&_nc_ohc=3CD7KRNaxysQ7kNvwFIZYJM&_nc_oc=AdoAlCatBPXN1faDjbT-tMzRvdE0JZMNc_zVl3_0mvc9lerLX8lOOzxvCDxd-mbsogA&_nc_zt=23&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_gid=URISUvjCzXV73eTkK9rByg&_nc_ss=7260f&oh=00_Af83qA7lQkQfjFQq_KmZMjkCIzmDzy5AE6_q6p6w5f-cvw&oe=6A46D3CF,https://www.instagram.com/reel/DS736U6E0Cq/,,Happy New Year! This is how we welcome 2026! \ud83d\udc83\ud83c\udffb\ud83d\udd7a\ud83c\udffb\ud83c\udf87 #siblinggoals #dance #newyearsday,1955731,,29,Instagram trend-page embed metadata; publish date unavailable on public embed,manual Instagram dance search result
TikTok,343677,932,valentino,https://p19-common-sign.tiktokcdn-eu.com/tos-useast5-p-0068-tx/oUeH7AfuSwIB3LRvEOgkIVii0A2yhpA7BrDCBL~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=58cbb3dd&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782723600&x-signature=K%2FaSU1Og5m5628ifLzxlYSdI55o%3D,https://www.tiktok.com/@valinspam/video/7620142882883767565,2026-03-23,this brazilian dance is too addicting🔥🔥🇧🇷 #fyp #brazil #viral #trending #makemefamous | New Dance | Brazilian Dance | Trending Dance | Solo Tiktok | 2026 Dances | Easy Dances,25682968,29255,14,TikTok search: tiktok dance 2026,https://www.tikwm.com/api/feed/search?keywords=tiktok+dance+2026&count=30
TikTok,329824,771,darley_boo,https://p16-common-sign.tiktokcdn-eu.com/tos-no1a-p-0037-no/oI0ASg0iRBoEhAiI3CQIE6NAA2CMwvfCT3OBiW~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=065618d7&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782723600&x-signature=3EnmvxCugikgZTq94FTm4TlP5DU%3D,https://www.tiktok.com/@darley_boo/video/7616778423398124822,2026-03-14,like a reflex | dc: @meigamind #dancechallenge #dancer #dontoliver #fyp #viraldance,5223426,12661,19,TikTok search: viral dance,https://www.tikwm.com/api/feed/search?keywords=viral+dance&count=30
TikTok,327072,604,CLEO,https://p16-common-sign.tiktokcdn-eu.com/tos-alisg-p-0037/owAA0DiIEAw0ExePr5iKt9DKahmgRCAQBB3IAz~tplv-tiktokx-dmt-logom:tos-alisg-i-0068/oEDAMgB8iAQH95tkAIUlABKCOwQEIKAfw0v5ki.image?biz_tag=musically_video.video_cover&dr=9230&idc=no1a&ps=933b5bde&refresh_token=af0b05bd&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782723600&x-signature=5y8zJ3W%2F0zUxKRyaQK%2F20pH4BH4%3D,https://www.tiktok.com/@cleyoowww/video/7633009886237871381,2026-04-26,RED RED! #cortis #dance #redred,5753251,19582,20,TikTok search: redred dance challenge,https://www.tikwm.com/api/feed/search?keywords=redred+dance+challenge&count=30
TikTok,310339,1703,kendalls.kloset,https://p19-common-sign.tiktokcdn-eu.com/tos-useast8-p-0068-tx2/ooRB2AEIlYjiajMBmApC04p2IvAECAZ37YAKi~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=38f8e4c2&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782723600&x-signature=tC9z2JrXz5GMLJQnPwrez4fMW4o%3D,https://www.tiktok.com/@kendalls.kloset/video/7602821791832100127,2026-02-04,like that dance #fyp #viral #trending #blowthisup #dance #dancestolearn #dancesfor1person #fypシ #xyzbca,15230114,24434,17,TikTok search: viral dance,https://www.tikwm.com/api/feed/search?keywords=viral+dance&count=30
TikTok,303357,1919,𝐽𝑎𝑚𝑎𝑙🕺🏾,https://p16-common-sign.tiktokcdn-eu.com/tos-useast5-p-0068-tx/ooxQInkjtInsNsDyHkAFVN93IfZvUKECDEefbA~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=e0c128e1&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782723600&x-signature=oEiwAhewSTMoivfuzHQZmU5hfow%3D,https://www.tiktok.com/@jamal.daone/video/7645818880148901134,2026-05-31,🦈🦈🦈🦈🦈nation #dance #viral #newdancechallenge #targetedaudience TikTok dances 2026 | Viral dances | Popular dances | Dances to learn | Trending dances | New dances | GROUP@Tyeron Sandy @janjay_0 @Isaiah….🥷🏾 @Jayy✌🏾,2794944,32646,35,TikTok search: tiktok dance 2026,https://www.tikwm.com/api/feed/search?keywords=tiktok+dance+2026&count=30
TikTok,271427,1515,ANG MARIE,https://p16-common-sign.tiktokcdn-eu.com/tos-useast5-p-0068-tx/oMfDIQkTA4pGAQfenrQuopLsRmOmIGeNFPBuGd~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=a280c625&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782723600&x-signature=r07vtaHgRB5kG6jNiRSQ%2F%2FOCLg8%3D,https://www.tiktok.com/@angiemanduley/video/7625469155700919566,2026-04-06,Wish I knew the actual choreo 😭 #boat #miami #nohands #ye,1461619,13387,26,TikTok search: no hands dance,https://www.tikwm.com/api/feed/search?keywords=no+hands+dance&count=30
TikTok,267948,1148,sascha🦦,https://p16-common-sign.tiktokcdn-eu.com/tos-alisg-p-0037/oUsHcFDIREB5iIcmLaEIeQBAxB3gCtykGqfdZs~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=45df5df6&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782723600&x-signature=zO3%2FsWBr8EiCgD1Ok9hcGqga0no%3D,https://www.tiktok.com/@saschajahz/video/7645638983942180117,2026-05-30,BRAZILLL coracao de vidro dance tutorialllll! @cleaur0326 #easydance #dancetrend #brazil #braziliandance,9975524,11235,15,TikTok search: dance tutorial 2026,https://www.tikwm.com/api/feed/search?keywords=dance+tutorial+2026&count=30
TikTok,259441,487,karina,https://p16-common-sign.tiktokcdn-eu.com/tos-alisg-p-0037/oIfqc4RREZDMXkoE1eFrAQc3BavFQgBmn8FUMA~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=761fef62&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782723600&x-signature=vAC1WCr8X2z%2F5wSbzVyI3vLl1CY%3D,https://www.tiktok.com/@krnbzrv/video/7652314456814439700,2026-06-17,redred #fyp #dance @vika,1231000,7854,15,TikTok search: redred dance challenge,https://www.tikwm.com/api/feed/search?keywords=redred+dance+challenge&count=30
TikTok,250850,1245,kache_arizpe13,https://p16-common-sign.tiktokcdn-eu.com/tos-alisg-p-0037/o4BcUEKIBgXf9C3Zgif5AVAAxiPUApBEk1pRaz~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=d416c18d&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782723600&x-signature=QYSnGpvBnlBYK%2FTY8Lc%2FMTJmC4I%3D,https://www.tiktok.com/@kache_arizpe13/video/7598662757306649877,2026-01-24,No hands… #biker #bikerboy #trend #dance #baile,2105252,8924,15,TikTok search: no hands dance,https://www.tikwm.com/api/feed/search?keywords=no+hands+dance&count=30
TikTok,234666,271,queenieliang,https://p16-common-sign.tiktokcdn-eu.com/tos-useast8-p-0068-tx2/oY8FlICwIzjqHf7uTfejsIDjTP5IwDXa2BEAAI~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=c10bcea8&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782723600&x-signature=L0VqigxAJYr11yzqmd0yHrMpeAc%3D,https://www.tiktok.com/@queenieq1q1/video/7632511600930426143,2026-04-25,learned from my fyp (will redo) 😝 @CORTIS #dance #fyp #cortis #redred,2491242,5113,20,TikTok search: redred dance challenge,https://www.tikwm.com/api/feed/search?keywords=redred+dance+challenge&count=30
TikTok,221888,195,leeeeejen,https://p16-common-sign.tiktokcdn-eu.com/tos-alisg-p-0037/oohEkLF9aIDVLtBAIelgfXErp0IIRHVBUVnIgB~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=a734a1f5&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782723600&x-signature=fE9%2BsmyKi%2BnhHwtDc8aesO%2B4XP0%3D,https://www.tiktok.com/@leeeeejen/video/7634870660916841746,2026-05-01,green@grandma #cortis #redred #kpop #dance #fyp,3328724,7269,36,TikTok search: redred dance challenge,https://www.tikwm.com/api/feed/search?keywords=redred+dance+challenge&count=30
TikTok,215017,490,andrea_halilaj,https://p16-common-sign.tiktokcdn-eu.com/tos-no1a-p-0037-no/o49XbmXIeJjHFgwQQDLTAJ3GAMIXFLfoey1IoQ~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=e090a5af&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782723600&x-signature=af25tEk95VOHVuu4Qpfc7n80y6I%3D,https://www.tiktok.com/@andrea_halilaj/video/7632355890749885718,2026-04-24,#passinhodojamal #braziliantiktok🇧🇷 #viral #dance @M★®¡† ✨,2371086,8267,15,TikTok search: passinho do jamal dance,https://www.tikwm.com/api/feed/search?keywords=passinho+do+jamal+dance&count=30
TikTok,206242,570,Layla,https://p16-common-sign.tiktokcdn-eu.com/tos-useast8-p-0068-tx2/oQAIEuh4iPTQfCNdkfDJ5QSHqekjEKFAbx6IWk~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=553e8c56&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782723600&x-signature=oNSu%2Fh51kCXDwwBanMlhEcsk4rs%3D,https://www.tiktok.com/@layla_.mckenzie/video/7636014512080014622,2026-05-04,The Get Down 11 hiphop- Daniel Moulton choreo #danyelmoultonchoreography #hiphopdance #hiphopdancer #groupdance #danceperformance,1402541,7369,36,TikTok search: hip hop dance challenge,https://www.tikwm.com/api/feed/search?keywords=hip+hop+dance+challenge&count=30
TikTok,200029,956,Kaïs 🕷️,https://p16-common-sign.tiktokcdn-eu.com/tos-useast2a-p-0037-euttp/owGeIRDTGg3IdSjq4I9geDMAgZ4GQLdPXMCufI~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&item=7611287855360494880&ps=933b5bde&refresh_token=3d8b9c5c&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782723600&x-signature=Mx4arEBuNfBnh7vd7GBSNxyoCkQ%3D,https://www.tiktok.com/@kaiss.hfs/video/7611287855360494880,2026-02-27,No hands ✋ dc: @rivernovin with @Owen_Jackson_dance.off #dance #fyp,1903806,7648,15,TikTok search: no hands dance,https://www.tikwm.com/api/feed/search?keywords=no+hands+dance&count=30
TikTok,184961,2259,kelly<3,https://p16-common-sign.tiktokcdn-eu.com/tos-useast2a-p-0037-euttp/oQb478aZaEEG60VnAVB3iYwIbBBiPiJmYogbI~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&item=7649057888572411168&ps=933b5bde&refresh_token=073a045a&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782723600&x-signature=4fZZCROCBzqEkT9kJTx2GpFX70M%3D,https://www.tiktok.com/@kellyisdancing/video/7649057888572411168,2026-06-09,this is so much fun to dance to😭 #bambole #viral #dancetrend #trendingdance,1722453,18932,13,TikTok search: viral dance,https://www.tikwm.com/api/feed/search?keywords=viral+dance&count=30
TikTok,164616,527,𝖓𝖊𝖘𝖘🇧🇷 • IG:@08.ness,https://p16-common-sign.tiktokcdn-eu.com/tos-useast2a-p-0037-euttp/og1E4Inmny1ABi7Ba7iIAiECIBQBBoJz7IfM7W~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&item=7649088026018303265&ps=933b5bde&refresh_token=067f328d&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782723600&x-signature=tucjL0%2F4DCa652VvYxo566MnB24%3D,https://www.tiktok.com/@08_ness/video/7649088026018303265,2026-06-09,LET ME DRIVE #DANCE #mario #trend #viral #foryou @m.a.r.i.kaa,2047534,6777,8,TikTok search: viral dance,https://www.tikwm.com/api/feed/search?keywords=viral+dance&count=30
Instagram Reels,45278,82,theojunior,https:\/\/scontent-lax3-2.cdninstagram.com\/v\/t51.71878-15\/706237129_1782263849854971_1265613226660289652_n.jpg?stp=dst-jpegr_e15_tt6&_nc_cat=107&ig_cache_key=MzkwNTU0NDYxNDUzMjczNDUzNQ\\u00253D\\u00253D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5oZHIudmlkZW9fbmZyYW1lX2NvdmVyX2ZyYW1lLkMzIn0\\u00253D&_nc_ohc=6iKCIPq6cBQQ7kNvwFo5JnV&_nc_oc=AdqBQ-0KHk6PTzxZJKhrjddoRY0TUz_TwtcuU35thmMyOaNGTvTA7IUj1wY8-oCt9WQ&_nc_zt=23&se=-1&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_gid=za5MmgL-yv0Kawp3zy3h8Q&_nc_ss=7260f&oh=00_Af-tHtyPaM9ex83BMG3WiRcGkdNWpDDVDNWILVO9sCVfOQ&oe=6A46B486,https://www.instagram.com/reel/DYzSCJrqd5H/,,nahh we too lit \ud83d\ude2d\ud83d\udd25 #explorepage #viral #kakalika #dance #2026,203296,,39,Instagram trend-page embed metadata; publish date unavailable on public embed,manual Instagram dance search result
