平台,点赞数,评论数,博主名字,视频封面,视频链接,发布时间,视频标题/说明,播放量,分享数,时长秒,采集说明,来源URL
TikTok,66951,994,Moon 🌒,https://p16-common-sign.tiktokcdn-eu.com/tos-alisg-p-0037/o0AASBIQIDARxfRe8ULoHNFNozMfHIATGE1jAp~tplv-tiktokx-dmt-logom:tos-alisg-i-0068/o84qZAAeoCBElRpjCtFEgmDYEoARxgAIEtfnU6.image?biz_tag=musically_video.video_cover&dr=9230&idc=no1a&ps=933b5bde&refresh_token=325922ca&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=PB9l%2FM1qejQJ%2FEcSsO7vItthNp0%3D,https://www.tiktok.com/@maudehroux/video/7540056635058752784,2025-08-19,DC : @FADDA GREAT🙏🏾😎 & @GREAT LUCKY🙏🏻😌 with my friend on the grill @Aubxo 😂 @Ayetian #dancehallchallenge #jamaicantiktok🇯🇲viral #ramputu #ayetian #faddagreat,451057,8814,21,TikTok search: dancehall dance challenge; one-year window; adult/sensitive-term filtered,https://www.tikwm.com/api/feed/search?keywords=dancehall+dance+challenge&count=30
TikTok,66176,1036,Sydney Smiles,https://p16-common-sign.tiktokcdn-eu.com/tos-useast8-p-0068-tx2/oICVRAD7NAuf1A8L2QrlVpKEADeFEEqHEIAAUd~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=18417c83&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=fzbP%2F8rY9DYJ05PWjjKdv8%2Fn4KU%3D,https://www.tiktok.com/@thesydneysmiles/video/7653565444271377695,2026-06-21,Back it up❤️‍🔥 @PaisLee Nelson @Toby #dance #trending #trio,1584885,492,15,TikTok search: back it up dance; one-year window; adult/sensitive-term filtered,https://www.tikwm.com/api/feed/search?keywords=back+it+up+dance&count=30
TikTok,61196,770,Nancy-Lyn,https://p19-common-sign.tiktokcdn-eu.com/tos-alisg-p-0037/okugUAwcAcAy9EIpBVFfBCgJ4CYAoPEiRADeEM~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=39e1ef35&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=0V3ccNVoLDTlQvYSfwmihu3n6wc%3D,https://www.tiktok.com/@candeepants/video/7589702453591870741,2025-12-31,,914406,26908,63,TikTok search: waist dance; one-year window; adult/sensitive-term filtered,https://www.tikwm.com/api/feed/search?keywords=waist+dance&count=30
TikTok,68555,191,emeluush,https://p16-common-sign.tiktokcdn-eu.com/tos-no1a-p-0037-no/oUE00RCpLjOGrFTKxVCDvgAEkdFfA9TAeIAyEh~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=b9a2395f&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=9YxJhtJit7Ajlfq0Dl0j9IcjD78%3D,https://www.tiktok.com/@emeluush/video/7606046477655330070,2026-02-13,back it uppp @𝐊𝐚𝐭𝐫𝐢𝐧‘ @fitoree2 #fyp #trendin #dance #viral,1150587,2534,15,TikTok search: back it up dance; one-year window; adult/sensitive-term filtered,https://www.tikwm.com/api/feed/search?keywords=back+it+up+dance&count=30
TikTok,55992,284,kaili,https://p16-common-sign.tiktokcdn-eu.com/tos-useast8-p-0068-tx2/oA2pLztSBAowBRmiAEFxiKVDGfes21iEEEBWKI~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=0d7de69f&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=8Kzh0HmlXqjGTWto7vzrN9JQlFQ%3D,https://www.tiktok.com/@asabasics/video/7604938414017744159,2026-02-10,shake it | #dance #kailiasa #fyp,659329,699,15,TikTok search: shake dance challenge; one-year window; adult/sensitive-term filtered,https://www.tikwm.com/api/feed/search?keywords=shake+dance+challenge&count=30
TikTok,54617,294,330,https://p16-common-sign.tiktokcdn-eu.com/tos-alisg-p-0037/2b72f180cb88460cb022c7b5c9cd5693~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=10402&idc=no1a&ps=13740610&refresh_token=8289dfc1&shcp=9b759fb9&shp=c1333099&t=4d5b0474&x-expires=1782662400&x-signature=E1q9OXHXiz614I6RZs0%2FLuwV8%2BY%3D,https://www.tiktok.com/@im330el/video/7556856275972197653,2025-10-03,Dance Challenge with Full Body Control😎 #dancechallenge #ilovedance #fyp #juun #heart2heart,1032388,2270,28,TikTok search: body dance challenge; one-year window; adult/sensitive-term filtered,https://www.tikwm.com/api/feed/search?keywords=body+dance+challenge&count=30
TikTok,48473,848,Amber Rae,https://p16-common-sign.tiktokcdn-eu.com/tos-no1a-p-0037-no/o8NFAEBwQ6Rks0fScfzXMQKHqhrr2DmaDFEgAF~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=6873a376&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=XBs7NuKa4HoB4bg5eTUCcZnhBjg%3D,https://www.tiktok.com/@amberraeofficial/video/7641674023662849302,2026-05-20,When @Empress LDN STEP OUT forreal 💃🏾🔥 Appreciate the love and support on these classes✨ 🎵: @Busy Signal - STEP OUT 💃🏾: @Beccy_boom @RAIHAANAH @DemssDakotaa @NatNat Lawrensky 🎥: @jemimah #heelsdance #jamaicatiktok #dancehallvibes,549052,3148,40,TikTok search: dancehall dance challenge; one-year window; adult/sensitive-term filtered,https://www.tikwm.com/api/feed/search?keywords=dancehall+dance+challenge&count=30
TikTok,51885,286,Rue®️,https://p16-common-sign.tiktokcdn-eu.com/tos-useast5-p-0068-tx/ogOnEFOGArtjAI6LUsQc4TF0I2HNkef7CDCoDf~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=8945f39c&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=38wUL8O%2BEy3GyP1VFBMRzen7GUo%3D,https://www.tiktok.com/@yeahdatsrue_/video/7642024191625121037,2026-05-21,Back it up🕺🏿 #fyp#trending#az#tiktokdance #solodance | easy dances | 1 person dances I trending dances I,2644616,6018,12,TikTok search: back it up dance; one-year window; adult/sensitive-term filtered,https://www.tikwm.com/api/feed/search?keywords=back+it+up+dance&count=30
TikTok,46780,242,ObiN 🇳🇬,https://p16-common-sign.tiktokcdn-eu.com/tos-useast5-p-0068-tx/oUexMCSDqBb91WVFEtmWTAIiEDb5fO1gwRIME2~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=c6783571&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=vIwINJZBxFAabFya5vnqnBY%2BS%2FA%3D,https://www.tiktok.com/@obinwangwu/video/7654268601209244941,2026-06-23,backk #fyp #brazil🇧🇷 #bailefunk #fifa,239138,2867,16,TikTok search: brazilian funk dance; one-year window; adult/sensitive-term filtered,https://www.tikwm.com/api/feed/search?keywords=brazilian+funk+dance&count=30
TikTok,42159,63,delaneylee3.3,https://p16-common-sign.tiktokcdn-eu.com/tos-useast5-p-0068-tx/oYhhISexXDAHmPJRgpFrDRqDQEEgCB7AI3fCCE~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=6bb986f4&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=YsfMhOUZHVPU7OcKHjLQaFli9rQ%3D,https://www.tiktok.com/@delaneylee3.3/video/7638835418871434510,2026-05-12,BACK IT UP #dance,426613,599,12,TikTok search: back it up dance; one-year window; adult/sensitive-term filtered,https://www.tikwm.com/api/feed/search?keywords=back+it+up+dance&count=30
TikTok,35462,178,Launch 13,https://p16-common-sign.tiktokcdn-eu.com/tos-maliva-p-0068/9ef9a353918a4b1a87f4d95c8023cd7f~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=10402&idc=no1a&ps=13740610&refresh_token=71c8db1a&shcp=9b759fb9&shp=c1333099&t=4d5b0474&x-expires=1782662400&x-signature=wM8EyeKSUWlG6dGYDytW73rKfcs%3D,https://www.tiktok.com/@launch13th/video/7558634770507320632,2025-10-08,VEKI VEKI INSTRUMENTAL 🔥 🤩 thanks @𝔖𝔞𝔤𝔞𝔱 ♱ for the video #brazilianfunk #dance #trend,560204,1193,14,TikTok search: brazilian funk dance; one-year window; adult/sensitive-term filtered,https://www.tikwm.com/api/feed/search?keywords=brazilian+funk+dance&count=30
TikTok,35121,230,Amapiano🇿🇦👑❤️‍🔥🫂,https://p16-common-sign.tiktokcdn-eu.com/tos-alisg-p-0037/oYuaEtDnIFAIIEBtUDEcTEEpBtxVfRf3pYk2g5~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=f45a1c86&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=P%2Fsuw2cVUPug8mSEHTT2wHkZ%2BA8%3D,https://www.tiktok.com/@_afropresh/video/7617577312237718792,2026-03-16,Replying to @official anna Satisfied?🌝 ##afropresh #waistdance #culturaldance #adaigbo #goviral,436425,192,13,TikTok search: afro waist dance; one-year window; adult/sensitive-term filtered,https://www.tikwm.com/api/feed/search?keywords=afro+waist+dance&count=30
TikTok,35106,115,Acocobay,https://p16-common-sign.tiktokcdn-eu.com/tos-useast8-p-0068-tx2/oYAWila0BYAvQMc1N8VnEEiIBW7P5w6Iyzz9R~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=fb9558f3&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=LtphN9Ey4dapyJk6PUvuEaArn0M%3D,https://www.tiktok.com/@acocobay/video/7556146909409234206,2025-10-01,"Dance tutorial tip, the basic to waist dancing, Knees and Stands. #dance #dancetrend #dancetutorials #viral #fyp",325723,1092,11,TikTok search: waist dance; one-year window; adult/sensitive-term filtered,https://www.tikwm.com/api/feed/search?keywords=waist+dance&count=30
TikTok,25442,128,NAMI💋,https://p16-common-sign.tiktokcdn-eu.com/tos-no1a-p-0037-no/oQtFrHpeBUR2EydEFFAR3IIDIgFkSq6BG1f3ik~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=8d801955&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=R2qZ%2F9zXxXgN%2FWsAN%2BBdl2kFWvc%3D,https://www.tiktok.com/@knz.ea222/video/7586403899393838358,2025-12-22,#trend #dance #shakebodybodydancechallenge #fyp #,359170,7121,12,TikTok search: body dance challenge; one-year window; adult/sensitive-term filtered,https://www.tikwm.com/api/feed/search?keywords=body+dance+challenge&count=30
TikTok,24440,306,Jazy Bestow,https://p16-common-sign.tiktokcdn-eu.com/tos-alisg-p-0037/oIQDpyItNFCMEBWIUPhBsvPAEfcSI28QjgfFRy~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=18c7e5af&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=BKx57Ageb0PR9JavIgsKEdrnir4%3D,https://www.tiktok.com/@jazybestow_/video/7622563437004066068,2026-03-29,This is the best DanceChallenge in 2026🇹🇿🇯🇲 🎙️@Shenseea 👸 Dc: Me🤴 IN @WATALANTA DANCE ACADEMY🇹🇿 Let’s keep joining the challenge🚀🙏,385676,662,19,TikTok search: dancehall dance challenge; one-year window; adult/sensitive-term filtered,https://www.tikwm.com/api/feed/search?keywords=dancehall+dance+challenge&count=30
TikTok,24170,222,amir.karaman ⭐️,https://p16-common-sign.tiktokcdn-eu.com/tos-useast5-p-0068-tx/oY7l8iBRSBp3fGEptgHuAC4GIfgiWPDiuOIVdD~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=dd37bebf&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=0nq%2BqMTx4oVUTOOkYWrjzr2AHSc%3D,https://www.tiktok.com/@amir.karaman/video/7636899246687390989,2026-05-07,WAIST 🪩 #slayyyter #dance #pose #viral #fyp,171128,906,11,TikTok search: waist dance; one-year window; adult/sensitive-term filtered,https://www.tikwm.com/api/feed/search?keywords=waist+dance&count=30
TikTok,23137,129,RISHATAVERNIER,https://p16-common-sign.tiktokcdn-eu.com/tos-no1a-p-0037-no/ok9i8CBxE6ISDJA89f8HSIT20PAZmBndaAiwAC~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=1555b6cd&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=8xsHbU4dxjYrnasutE27Vqz7VH8%3D,https://www.tiktok.com/@rishaatavernierr/video/7553210523064585494,2025-09-23,Will I ever stop doing this…..no🥰 // @Iil🧢 @Nicholas dc: @Kyler F****** Irby #bodysummerwalker #trending #dance,393140,1157,15,TikTok search: body dance challenge; one-year window; adult/sensitive-term filtered,https://www.tikwm.com/api/feed/search?keywords=body+dance+challenge&count=30
TikTok,23914,31,meg.mackk,https://p16-common-sign.tiktokcdn-eu.com/tos-useast8-p-0068-tx2/o4duTpi0fAB2CJDlElocRzQA0FR0ijfqbVEIEy~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=9c2a3d65&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=7w8cLHj8ynxPmJk7RRWtPimXc2A%3D,https://www.tiktok.com/@meg.mackk/video/7606059850396650783,2026-02-13,Shake!! #dance #fypシ゚viral #challenge,149959,535,15,TikTok search: shake dance challenge; one-year window; adult/sensitive-term filtered,https://www.tikwm.com/api/feed/search?keywords=shake+dance+challenge&count=30
TikTok,23375,26,HHS,https://p16-common-sign.tiktokcdn-eu.com/tos-alisg-p-0037/oYUDSA6AEA5AISFgpNwAtYGfBE3RCjEGYEBoeK~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=78ead33a&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=WBAvGHNT02FMq0p1ozFO07DFTAo%3D,https://www.tiktok.com/@hhsmo4/video/7572909559581379848,2025-11-15,🤍 #body @Summer Walker dc: @Kyler F****** Irby #summerwalker #dance #tiktok #challenge #chroeography #fyp #03 #댄스 #안무 #틱톡 #챌린지 #추천 #跳舞 #編舞 #舞蹈 #翻跳,420613,836,16,TikTok search: body dance challenge; one-year window; adult/sensitive-term filtered,https://www.tikwm.com/api/feed/search?keywords=body+dance+challenge&count=30
TikTok,18576,386,Mimi🦋,https://p16-common-sign.tiktokcdn-eu.com/tos-alisg-p-0037/o4B8IcEDAGfBt0iAHqAAEMyQkAFfkRAIxkCKXg~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=11d6be3d&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=MRaK2ltUQctyE%2FJawAd%2BLyaw6mA%3D,https://www.tiktok.com/@mimi___1010a/video/7647128794863521044,2026-06-03,"If you let your guard down, you'll make a mistake with your hand movements🖐🏻🫯💛💚 #ElaKéCavucadinha #brazilianfunk #dance #trend #流行り @まじっくあわー🦋💎",262812,598,15,TikTok search: brazilian funk dance; one-year window; adult/sensitive-term filtered,https://www.tikwm.com/api/feed/search?keywords=brazilian+funk+dance&count=30
TikTok,16627,66,laura☀️,https://p16-common-sign.tiktokcdn-eu.com/tos-useast2a-p-0037-euttp/oMfmCAAmvMFEGIQTdQLeGDgSFfONtAQGjFGdIL~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&item=7611503655816138016&ps=933b5bde&refresh_token=469fa914&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=6G%2FH3t%2BHODzKQzNTSSmNJJIk%2FUQ%3D,https://www.tiktok.com/@s.lauraaaaa/video/7611503655816138016,2026-02-27,With my girls 🔥☀️ @Emilia✨ @leonie 🫶🏼🫶🏼 dc: me ❤️ #dance #dancehall #viral #foryou,262536,954,21,TikTok search: dancehall dance challenge; one-year window; adult/sensitive-term filtered,https://www.tikwm.com/api/feed/search?keywords=dancehall+dance+challenge&count=30
TikTok,11307,393,Jodie | Dance • Beauty • Mom,https://p16-common-sign.tiktokcdn-eu.com/tos-useast5-p-0068-tx/owHOXo5pESxxAF8G1ASIAgDKXkAxCUD3EQefRZ~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=7d568d50&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=GCTEYGneQmIg%2FhbSLTE8mu3534g%3D,https://www.tiktok.com/@jodiemakingmoves/video/7550027223865019703,2025-09-15,Embodying in my inner #dancehallqueen with @MR TALENTED’s #dancechallenge #reggae #dancehall #bogle,138124,588,25,TikTok search: dancehall dance challenge; one-year window; adult/sensitive-term filtered,https://www.tikwm.com/api/feed/search?keywords=dancehall+dance+challenge&count=30
TikTok,13751,38,kinaspicy,https://p16-common-sign.tiktokcdn-eu.com/tos-alisg-p-0037/oYywuIoIBBQelAvYwiPqA7C8Fi39o0ACs3qIdE~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=63ea2023&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=vrJLNSVySIXdc6%2FlQNMfJCyebzk%3D,https://www.tiktok.com/@kinaspicy_kr/video/7603411703425961236,2026-02-06,Old / Middle Female Dancehall 🇯🇲 #jamaicantiktok🇯🇲viral #femaledancehall #shaggy #dancehall #jamaica,310397,916,48,TikTok search: dancehall dance challenge; one-year window; adult/sensitive-term filtered,https://www.tikwm.com/api/feed/search?keywords=dancehall+dance+challenge&count=30
