序号,平台,博主名字,视频链接,状态,文件路径,文件大小字节,下载来源,错误
16,TikTok,Kari Snap,https://www.tiktok.com/@kari_snap/video/7552113188813229323,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/新增一年内50条/TikTok/16_TikTok_Kari Snap_7552113188813229323_New trend_ #newtrend #dancechallenge2025 #dancetre.mp4,1245299,https://www.tikwm.com/api/?url=https%3A%2F%2Fwww.tiktok.com%2F%40kari_snap%2Fvideo%2F7552113188813229323,
17,TikTok,Dance Fusion,https://www.tiktok.com/@kpop.dancefusion/video/7570044517135420674,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/新增一年内50条/TikTok/17_TikTok_Dance Fusion_7570044517135420674_🎶 Katseye - Touch RPD fancam from @MegaCon Live Fa.mp4,8530025,https://www.tikwm.com/api/?url=https%3A%2F%2Fwww.tiktok.com%2F%40kpop.dancefusion%2Fvideo%2F7570044517135420674,
18,TikTok,Dance Fitness with An Lê,https://www.tiktok.com/@dancefitnesswithanle/video/7600441719162768660,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/新增一年内50条/TikTok/18_TikTok_Dance Fitness with An Lê_7600441719162768660_Easy Move Tutorial Dance Viral #dancefitnesswithan.mp4,2333567,https://www.tikwm.com/api/?url=https%3A%2F%2Fwww.tiktok.com%2F%40dancefitnesswithanle%2Fvideo%2F7600441719162768660,
19,TikTok,sexiestmfuser,https://www.tiktok.com/@sexiestmfuser/video/7641600031694392606,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/新增一年内50条/TikTok/19_TikTok_sexiestmfuser_7641600031694392606_Deep sea diverrrr #fyp #dance #3persondance #viral.mp4,4334224,https://www.tikwm.com/api/?url=https%3A%2F%2Fwww.tiktok.com%2F%40sexiestmfuser%2Fvideo%2F7641600031694392606,
20,TikTok,kelly<3,https://www.tiktok.com/@kellyisdancing/video/7576397356959108374,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/新增一年内50条/TikTok/20_TikTok_kelly_3_7576397356959108374_finally did this with @miirelaisdancing dc_@Jaya C.mp4,1469714,https://www.tikwm.com/api/?url=https%3A%2F%2Fwww.tiktok.com%2F%40kellyisdancing%2Fvideo%2F7576397356959108374,
21,TikTok,nouvaee,https://www.tiktok.com/@nouvaee/video/7578512925854321953,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/新增一年内50条/TikTok/21_TikTok_nouvaee_7578512925854321953_nj never d1e. #newjeansdance #dancechallenge #tren.mp4,2913389,https://www.tikwm.com/api/?url=https%3A%2F%2Fwww.tiktok.com%2F%40nouvaee%2Fvideo%2F7578512925854321953,
22,TikTok,Lauren Kim,https://www.tiktok.com/@laurenkkim0/video/7639854586278333726,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/新增一年内50条/TikTok/22_TikTok_Lauren Kim_7639854586278333726_watching the movie today so had to hit this🕺 #danc.mp4,3969744,https://www.tikwm.com/api/?url=https%3A%2F%2Fwww.tiktok.com%2F%40laurenkkim0%2Fvideo%2F7639854586278333726,
23,TikTok,l u a❣️,https://www.tiktok.com/@lua_elisabeth3/video/7573697108402801942,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/新增一年内50条/TikTok/23_TikTok_l u a❣️_7573697108402801942_Miv🤞 @Philippa B.W♥️ #dance #dancetrend2025 #poker.mp4,793945,https://www.tikwm.com/api/?url=https%3A%2F%2Fwww.tiktok.com%2F%40lua_elisabeth3%2Fvideo%2F7573697108402801942,
24,TikTok,𝔾𝕒𝕓𝕣𝕚𝕖𝕝𝕒,https://www.tiktok.com/@an_gh0sth3r/video/7574093141142277394,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/新增一年内50条/TikTok/24_TikTok_𝔾𝕒𝕓𝕣𝕚𝕖𝕝𝕒_7574093141142277394_#trend #nwj #phonk #drip #dance _ newjeans trend 2.mp4,1218984,https://www.tikwm.com/api/?url=https%3A%2F%2Fwww.tiktok.com%2F%40an_gh0sth3r%2Fvideo%2F7574093141142277394,
25,TikTok,karina,https://www.tiktok.com/@kk.arina__/video/7576375509022559501,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/新增一年内50条/TikTok/25_TikTok_karina_7576375509022559501_@luv_444.kenn #2025tiktokdances #goviral #trending.mp4,1354396,https://www.tikwm.com/api/?url=https%3A%2F%2Fwww.tiktok.com%2F%40kk.arina__%2Fvideo%2F7576375509022559501,
26,TikTok,drea,https://www.tiktok.com/@yelloutdrea/video/7639841764534275358,成功,"/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/新增一年内50条/TikTok/26_TikTok_drea_7639841764534275358_we’re backkkj @Urlocalweirdo #dancechallenge, #202.mp4",3508645,https://www.tikwm.com/api/?url=https%3A%2F%2Fwww.tiktok.com%2F%40yelloutdrea%2Fvideo%2F7639841764534275358,
27,TikTok,golins.2430,https://www.tiktok.com/@golins.2430/video/7636458348224859424,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/新增一年内50条/TikTok/27_TikTok_golins.2430_7636458348224859424_#passinhodojamal🇧🇷 #fyp #dancinha #boom #viral.mp4,3187732,https://www.tikwm.com/api/?url=https%3A%2F%2Fwww.tiktok.com%2F%40golins.2430%2Fvideo%2F7636458348224859424,
28,TikTok,ap💫,https://www.tiktok.com/@gvbriel.ap/video/7612732886029995286,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/新增一年内50条/TikTok/28_TikTok_ap💫_7612732886029995286_dc_@SJ Addison #ap💫 #dance #afro.mp4,3121898,https://www.tikwm.com/api/?url=https%3A%2F%2Fwww.tiktok.com%2F%40gvbriel.ap%2Fvideo%2F7612732886029995286,
29,TikTok,Angelo,https://www.tiktok.com/@_angelomarasigan/video/7530349295527071031,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/新增一年内50条/TikTok/29_TikTok_Angelo_7530349295527071031_who remembers this katseye era_ 😩 #katseyetouch #t.mp4,3918078,https://www.tikwm.com/api/?url=https%3A%2F%2Fwww.tiktok.com%2F%40_angelomarasigan%2Fvideo%2F7530349295527071031,
30,TikTok,Natalia Amaya,https://www.tiktok.com/@natalia.amayaa/video/7649870528026660110,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/新增一年内50条/TikTok/30_TikTok_Natalia Amaya_7649870528026660110_Was I expecting to freestyle today_ No. Am I alway.mp4,4956836,https://www.tikwm.com/api/?url=https%3A%2F%2Fwww.tiktok.com%2F%40natalia.amayaa%2Fvideo%2F7649870528026660110,
31,TikTok,Kattx6,https://www.tiktok.com/@kattot6/video/7597565109145292040,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/新增一年内50条/TikTok/31_TikTok_Kattx6_7597565109145292040_Saw this trend and had to try it.. Trend creator @.mp4,666112,https://www.tikwm.com/api/?url=https%3A%2F%2Fwww.tiktok.com%2F%40kattot6%2Fvideo%2F7597565109145292040,
32,TikTok,HAGIREN,https://www.tiktok.com/@hagiren_hiphop/video/7619751888925379861,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/新增一年内50条/TikTok/32_TikTok_HAGIREN_7619751888925379861_#dancechallenge2026 #japandance #trenddancetiktok.mp4,1093088,https://www.tikwm.com/api/?url=https%3A%2F%2Fwww.tiktok.com%2F%40hagiren_hiphop%2Fvideo%2F7619751888925379861,
33,TikTok,🦿,https://www.tiktok.com/@rrodwavegf/video/7593364270780402958,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/新增一年内50条/TikTok/33_TikTok_🦿_7593364270780402958_if uu wnna see some real ahh bby its ur chance 🙂‍↔.mp4,2901167,https://www.tikwm.com/api/?url=https%3A%2F%2Fwww.tiktok.com%2F%40rrodwavegf%2Fvideo%2F7593364270780402958,
34,TikTok,shiro,https://www.tiktok.com/@shirowillwin/video/7615681176195435806,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/新增一年内50条/TikTok/34_TikTok_shiro_7615681176195435806_Can you get them all_🕺 #shuffle #dance #tutorials.mp4,25702598,https://www.tikwm.com/api/?url=https%3A%2F%2Fwww.tiktok.com%2F%40shirowillwin%2Fvideo%2F7615681176195435806,
35,TikTok,Jenny Aston,https://www.tiktok.com/@jl.shuffle1/video/7604907046135287062,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/新增一年内50条/TikTok/35_TikTok_Jenny Aston_7604907046135287062_Replying to @carrillo hope this helps! 💃🕺 #shuffle.mp4,1373176,https://www.tikwm.com/api/?url=https%3A%2F%2Fwww.tiktok.com%2F%40jl.shuffle1%2Fvideo%2F7604907046135287062,
36,TikTok,PINTEREST KID.,https://www.tiktok.com/@definitelyfirst/video/7651892160308038944,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/新增一年内50条/TikTok/36_TikTok_PINTEREST KID_7651892160308038944_@[ᴍᴜʀ - ᴢᴇᴇ]® #murzz #b00tleg #hellokitty.mp4,3390594,https://www.tikwm.com/api/?url=https%3A%2F%2Fwww.tiktok.com%2F%40definitelyfirst%2Fvideo%2F7651892160308038944,
37,TikTok,Dance From Home,https://www.tiktok.com/@dance.from.home/video/7534740589238095126,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/新增一年内50条/TikTok/37_TikTok_Dance From Home_7534740589238095126_Learn your first dance step by step with us! 😍 Sta.mp4,2700287,https://www.tikwm.com/api/?url=https%3A%2F%2Fwww.tiktok.com%2F%40dance.from.home%2Fvideo%2F7534740589238095126,
38,TikTok,𝒜𝓋𝒶-𝑀𝒶𝓇𝑒𝑒,https://www.tiktok.com/@avamaree10/video/7569899285974764807,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/新增一年内50条/TikTok/38_TikTok_𝒜𝓋𝒶-𝑀𝒶𝓇𝑒𝑒_7569899285974764807_bit messy but loved this dance!! #dance #fyp #vira.mp4,7671064,https://www.tikwm.com/api/?url=https%3A%2F%2Fwww.tiktok.com%2F%40avamaree10%2Fvideo%2F7569899285974764807,
39,TikTok,𝐋𝐄𝐎𝐍𝐀,https://www.tiktok.com/@leonaaltun/video/7561395840565169430,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/新增一年内50条/TikTok/39_TikTok_𝐋𝐄𝐎𝐍𝐀_7561395840565169430_Again bc love this Song #timbaland #hiphop #hiphop.mp4,1795293,https://www.tikwm.com/api/?url=https%3A%2F%2Fwww.tiktok.com%2F%40leonaaltun%2Fvideo%2F7561395840565169430,
40,TikTok,alexia 🪩,https://www.tiktok.com/@alexia.lgd/video/7639107573504904481,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/新增一年内50条/TikTok/40_TikTok_alexia 🪩_7639107573504904481_walk it out @Kaïs 🕷️ 😝 #dancer #dancetrend.mp4,3718625,https://www.tikwm.com/api/?url=https%3A%2F%2Fwww.tiktok.com%2F%40alexia.lgd%2Fvideo%2F7639107573504904481,
41,TikTok,d4nc_4u,https://www.tiktok.com/@d4nc_4u/video/7627519221630602518,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/新增一年内50条/TikTok/41_TikTok_d4nc_4u_7627519221630602518_Part 2 _ Dance trend 24_7🇧🇷 #dance #fyp #viral #br.mp4,2253276,https://www.tikwm.com/api/?url=https%3A%2F%2Fwww.tiktok.com%2F%40d4nc_4u%2Fvideo%2F7627519221630602518,
42,TikTok,.,https://www.tiktok.com/@chels.secretsecret/video/7531207611337788690,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/新增一年内50条/TikTok/42_TikTok_untitled_7531207611337788690_#fyp #viral #dance #Summer #xybca #asian #dancesfo.mp4,1079335,https://www.tikwm.com/api/?url=https%3A%2F%2Fwww.tiktok.com%2F%40chels.secretsecret%2Fvideo%2F7531207611337788690,
43,TikTok,.angelinamayyyy,https://www.tiktok.com/@.angelinamayyyy/video/7523236328562003222,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/新增一年内50条/TikTok/43_TikTok_angelinamayyyy_7523236328562003222_my baee @Emma 🥰 #foryoupage #fyp #foryou #onthisda.mp4,1664123,https://www.tikwm.com/api/?url=https%3A%2F%2Fwww.tiktok.com%2F%40.angelinamayyyy%2Fvideo%2F7523236328562003222,
44,TikTok,esssay🖤,https://www.tiktok.com/@essay_15/video/7611363773651094791,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/新增一年内50条/TikTok/44_TikTok_esssay🖤_7611363773651094791_messy hair #fyppppppppppppppppppppppp #dancechalle.mp4,1302796,https://www.tikwm.com/api/?url=https%3A%2F%2Fwww.tiktok.com%2F%40essay_15%2Fvideo%2F7611363773651094791,
45,TikTok,Shayna’🇲🇶,https://www.tiktok.com/@s.ay972/video/7652824708211150113,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/新增一年内50条/TikTok/45_TikTok_Shayna’🇲🇶_7652824708211150113_Dc _ @MJENAYLA _ 👩🏻‍🤝‍👩🏽 @Chilombo🪷 #foryou #pourt.mp4,2416307,https://www.tikwm.com/api/?url=https%3A%2F%2Fwww.tiktok.com%2F%40s.ay972%2Fvideo%2F7652824708211150113,
46,TikTok,vee 🪄,https://www.tiktok.com/@katswiinks/video/7573002396171898119,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/新增一年内50条/TikTok/46_TikTok_vee 🪄_7573002396171898119_If Touch by KATSEYE was in Just Dance 🎄🪩 dts_@yan.mp4,12210561,https://www.tikwm.com/api/?url=https%3A%2F%2Fwww.tiktok.com%2F%40katswiinks%2Fvideo%2F7573002396171898119,
47,TikTok,ItzzJhanéꨄ,https://www.tiktok.com/@official_jhane_danie/video/7561451776017190177,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/新增一年内50条/TikTok/47_TikTok_ItzzJhanéꨄ_7561451776017190177_Jealousyyy📸 _ DC_ @loockas & @Rèj X #fyp #trending.mp4,1942137,https://www.tikwm.com/api/?url=https%3A%2F%2Fwww.tiktok.com%2F%40official_jhane_danie%2Fvideo%2F7561451776017190177,
48,TikTok,Papta Steezy,https://www.tiktok.com/@ziyakhalaejozie/video/7624788655177075989,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/新增一年内50条/TikTok/48_TikTok_Papta Steezy_7624788655177075989_AMAPIANO DANCE CHALLENGE 2026 TRENDING #paptasteez.mp4,1949064,https://www.tikwm.com/api/?url=https%3A%2F%2Fwww.tiktok.com%2F%40ziyakhalaejozie%2Fvideo%2F7624788655177075989,
49,TikTok,JJ & Lulu🌟,https://www.tiktok.com/@jaden__lunathi.15s/video/7582208851739512084,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/新增一年内50条/TikTok/49_TikTok_JJ & Lulu🌟_7582208851739512084_Guess who got promoted!!!🥳🥳🔥🔥🔥#fypage #fyppppppppp.mp4,1959430,https://www.tikwm.com/api/?url=https%3A%2F%2Fwww.tiktok.com%2F%40jaden__lunathi.15s%2Fvideo%2F7582208851739512084,
50,TikTok,Lizzie,https://www.tiktok.com/@lizziecl/video/7529530012916124950,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/新增一年内50条/TikTok/50_TikTok_Lizzie_7529530012916124950_Polly Pocket _ diagonal Running Man tutorial 🥰 #sh.mp4,4196478,https://www.tikwm.com/api/?url=https%3A%2F%2Fwww.tiktok.com%2F%40lizziecl%2Fvideo%2F7529530012916124950,
