序号,平台,博主名字,视频链接,状态,文件路径,文件大小字节,下载来源,错误
32,TikTok,𝖓𝖊𝖘𝖘🇧🇷 • IG:@08.ness,https://www.tiktok.com/@08_ness/video/7649088026018303265,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/表格50条/TikTok/32_TikTok_𝖓𝖊𝖘𝖘🇧🇷 • IG_@08.ness_7649088026018303265_LET ME DRIVE #DANCE #mario #trend #viral #foryou @.mp4,1172931,https://www.tikwm.com/api/?url=https%3A%2F%2Fwww.tiktok.com%2F%4008_ness%2Fvideo%2F7649088026018303265,
33,Instagram Reels,theojunior,https://www.instagram.com/reel/DYzSCJrqd5H/,失败,,,,Instagram embed did not expose video_url
34,Instagram Reels,jasmin.arndtt,https://www.instagram.com/reel/DTH7nzNkeFL/,失败,,,,Instagram embed did not expose video_url
35,Instagram Reels,hyperskidsafrica,https://www.instagram.com/reel/DXFF_7fDP98/,失败,,,,Instagram embed did not expose video_url
36,Instagram Reels,skullygodd,https://www.instagram.com/reel/DYWFdB4NXlv/,失败,,,,Instagram embed did not expose video_url
37,YouTube Shorts,Brat TV,https://www.youtube.com/shorts/6FjV5aSP99o,成功,"/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/表格50条/YouTube_Shorts/37_YouTube_Brat TV_Walk In, Walk Out 💥 VIRAL 2026 DANCE w_ Gia, Kaido, Clements.mp4",1122613,https://www.youtube.com/shorts/6FjV5aSP99o,
38,Instagram Reels,yerekesheva_akmaral,https://www.instagram.com/reel/DValrJJCGo-/,失败,,,,Instagram embed did not expose video_url
39,Instagram Reels,esenya_miss,https://www.instagram.com/reel/DS-xZwDgRMR/,失败,,,,Instagram embed did not expose video_url
40,Instagram Reels,official_lhorray,https://www.instagram.com/reel/DTLlZLCCgWn/,失败,,,,Instagram embed did not expose video_url
41,YouTube Shorts,Brat TV,https://www.youtube.com/shorts/gqMUa4fiLRA,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/表格50条/YouTube_Shorts/41_YouTube_Brat TV_Poor Kaido 🤣 GOIN’ UP DANCE 2026 #Shorts #Trending #Viral #D.mp4,791865,https://www.youtube.com/shorts/gqMUa4fiLRA,
42,Instagram Reels,tianneking,https://www.instagram.com/reel/DS_c8rKjcqa/,失败,,,,Instagram embed did not expose video_url
43,Instagram Reels,itstriplecharm,https://www.instagram.com/reel/DTvNl96kbDt/,失败,,,,Instagram embed did not expose video_url
44,Instagram Reels,kyladcarter,https://www.instagram.com/reel/DTJFbkBEgDo/,失败,,,,Instagram embed did not expose video_url
45,Instagram Reels,uwdanceteam,https://www.instagram.com/reel/DTq4YC-gYZr/,失败,,,,Instagram embed did not expose video_url
46,Instagram Reels,unlxmited_official,https://www.instagram.com/reel/DZVfKMXRPpk/,失败,,,,Instagram embed did not expose video_url
47,Instagram Reels,marvin_uganda,https://www.instagram.com/reel/DTSutXxCtqc/,失败,,,,Instagram embed did not expose video_url
48,Instagram Reels,sushmita_godge,https://www.instagram.com/reel/DS_0nkEAXLS/,失败,,,,Instagram embed did not expose video_url
49,YouTube Shorts,tejudance,https://www.youtube.com/shorts/-ZzYGnSXzQA,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/表格50条/YouTube_Shorts/49_YouTube_tejudance_No Hands Dance Tutorial step by step explanation + mirrored.mp4,19924469,https://www.youtube.com/shorts/-ZzYGnSXzQA,
50,YouTube Shorts,Nyonya Oleng ,https://www.youtube.com/shorts/eLCfeyekCt0,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/表格50条/YouTube_Shorts/50_YouTube_Nyonya Oleng_🚨 Beautiful lie x Macarena Tiktok Dance June 2026 #tiktokmas.mp4,629501,https://www.youtube.com/shorts/eLCfeyekCt0,
